Filename	Start_Time	Caption
17Min.mp4	00:14:57	No caption
17Min.mp4	00:15:06	No caption
17Min.mp4	00:15:08	No caption
17Min.mp4	00:15:13	No caption
17Min.mp4	00:15:17	No caption
17Min.mp4	00:15:20	No caption
17Min.mp4	00:15:23	No caption
17Min.mp4	00:15:26	No caption
17Min.mp4	00:15:33	No caption
17Min.mp4	00:15:37	No caption
17Min.mp4	00:15:38	No caption
17Min.mp4	00:15:44	No caption
17Min.mp4	00:15:48	No caption
17Min.mp4	00:15:53	No caption
17Min.mp4	00:15:57	No caption
17Min.mp4	00:16:01	No caption
17Min.mp4	00:16:02	No caption
17Min.mp4	00:16:06	No caption
17Min.mp4	00:16:09	No caption
17Min.mp4	00:16:12	No caption
17Min.mp4	00:16:17	No caption
17Min.mp4	00:16:21	No caption
17Min.mp4	00:16:55	No caption
17Min.mp4	00:16:57	No caption
17Min.mp4	00:17:03	No caption
17Min.mp4	00:17:23	No caption
17Min.mp4	00:17:24	No caption
17Min.mp4	00:17:25	No caption
17Min.mp4	00:17:26	No caption
